code;location;registered;envelopes;valid;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;Volte Pr.Blok www.cibulka.net;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;SpoleË.proti v˝st.v Prok.˙dolÌ;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;OB»AN… 2011-SPRAVEDL. PRO LIDI;Unie H.A.V.E.L.;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
547140;Praha-Lysolaje;888;685;680;78;0;0;20;1;1;131;12;19;0;0;12;0;0;0;0;0;110;125;1;0;56;0;5;1;0;16;3
547158;Praha-Nebuöice;1742;1188;1181;186;3;0;52;1;0;113;50;35;3;2;11;1;1;1;0;2;128;283;2;0;42;0;17;4;1;63;3
538531;Praha-NedvÏzÌ;228;167;167;31;4;0;7;0;3;4;6;2;1;0;5;0;0;0;0;0;14;37;0;0;5;0;4;0;2;14;1
547395;Praha-Petrovice;4717;3142;3120;450;8;3;203;4;0;161;152;75;8;2;75;3;8;0;0;2;309;712;0;5;132;0;31;7;3;173;9
539589;Praha-P¯ednÌ Kopanina;399;314;311;67;0;1;15;0;0;12;10;7;3;0;5;1;2;0;0;0;31;58;0;0;15;0;4;3;0;15;0
539635;Praha-ÿeporyje;2947;2074;2069;405;7;0;107;2;0;105;49;43;5;5;55;1;3;0;1;1;235;425;1;4;109;0;20;4;1;105;4
538736;Praha-Satalice;1658;1259;1248;223;1;0;68;0;2;141;38;16;6;0;35;2;0;2;0;2;132;254;1;0;61;0;14;5;1;74;2
539678;Praha-Slivenec;2524;1857;1844;355;1;0;68;4;0;249;53;17;14;3;40;3;1;0;0;0;248;305;0;3;58;1;20;5;1;102;2
547271;Praha-Suchdol;4635;3413;3393;510;3;1;147;4;4;434;145;83;12;0;64;1;3;0;0;1;414;655;0;0;165;2;28;5;2;166;7
539724;Praha-äeberov;2145;1588;1581;343;1;1;53;0;0;61;58;19;3;1;34;2;1;1;0;2;218;341;3;3;57;1;23;8;4;86;5
547409;Praha-ätÏrboholy;1275;975;972;213;1;0;39;2;0;48;33;16;3;0;9;2;4;0;0;1;125;235;0;1;35;0;7;0;1;36;3
547328;Praha-Troja;889;699;693;138;0;0;25;1;1;66;16;17;1;1;10;3;0;1;0;0;135;107;0;0;47;0;6;2;0;22;0
539791;Praha-⁄jezd;2085;1583;1577;292;1;1;55;0;0;80;59;31;8;0;38;2;2;0;0;0;205;337;3;2;67;1;15;4;1;95;6
547115;Praha-Velk· Chuchle;1746;1313;1304;260;0;0;51;1;0;77;52;28;2;3;19;0;1;0;1;0;209;243;0;3;49;0;5;1;3;82;1
539007;Praha-Vino¯;2945;2166;2158;337;8;4;107;1;2;201;85;35;8;1;40;2;2;1;0;0;204;486;1;1;138;1;11;2;2;154;6
539864;Praha-Zbraslav;7359;5210;5173;905;7;4;255;4;1;249;215;124;22;2;102;5;12;1;0;10;657;1045;4;2;263;1;63;8;2;280;15
539899;Praha-ZliËÌn;4079;2826;2801;472;1;0;111;2;0;169;125;33;15;4;50;2;6;1;0;2;347;623;1;2;131;0;33;5;4;166;6
